L27 L18 L45 L92 L42 L22 L36 L48 L66 L24 L20 L0 L31 L94 L12 L96 L50 L89 L19 L85 L76 L86 L35 L91 L61 L52 L49 L87 L97 L10 L38 L83 L58 L29 L80 L11 L16 L84 L78 L6 L63 L33 L1 L15 L3 L72 L95 L13 L77 L5 L27
50
L27 L40
L18 L18
L45 L45
L92 L92
L42 L42
L22 L22
L36 L36
L48 L48
L66 L66
L24 L24
L20 L20
L0 L0
L31 L31
L94 L94
L12 L12
L96 L96
L50 L50
L89 L89
L19 L19
L85 L85
L76 L76
L86 L86
L35 L35
L91 L91
L61 L61
L52 L52
L49 L49
L87 L87
L97 L97
L10 L10
L38 L38
L83 L83
L58 L58
L29 L29
L80 L80
L11 L11
L16 L16
L84 L84
L78 L78
L6 L6
L63 L63
L33 L33
L1 L1
L15 L15
L3 L3
L72 L72
L95 L95
L13 L13
L77 L77
L5 L5
