1FoundersRock 43FacultyClub 66ClarkKerr 33Wada 38RajProperties 44HearstGreekTheatre 68SodaHall 80Oaktown 40Oaktown 52California 65Foothill 56Giannini 34Martinez 70Stonefire 41FoundersRock 32DeltaPhiEpsilon 48Esplanade 45HearstMemorial 79SanFransisco 59SouthHall 54Wellman 73Wada 76CasaZimbabwe 77OtherCoop 69VarsityBerkeley 67InternationalHouse 49SatherGate 74Martinez 63Unit3 62Unit2 46DoeLibrary 42UniversityHouse 60Ehrman 47SatherTower 37OtherCoop 61Unit1 58NorthGate 31Hillegass 51HearstGymnasium 75ChanningBowdwitch 72DeltaPhiEpsilon 53Durant 55Hilgard 39SanFransisco 35ChanningBowdwitch 50Bridge 64Blackwell 57Wheeler 71Hillegass 36CasaZimbabwe 1FoundersRock
50
1FoundersRock 78RajProperties
43FacultyClub 43FacultyClub
66ClarkKerr 66ClarkKerr
33Wada 33Wada
38RajProperties 38RajProperties
44HearstGreekTheatre 44HearstGreekTheatre
68SodaHall 68SodaHall
80Oaktown 80Oaktown
40Oaktown 40Oaktown
52California 52California
65Foothill 65Foothill
56Giannini 56Giannini
34Martinez 34Martinez
70Stonefire 70Stonefire
41FoundersRock 41FoundersRock
32DeltaPhiEpsilon 32DeltaPhiEpsilon
48Esplanade 48Esplanade
45HearstMemorial 45HearstMemorial
79SanFransisco 79SanFransisco
59SouthHall 59SouthHall
54Wellman 54Wellman
73Wada 73Wada
76CasaZimbabwe 76CasaZimbabwe
77OtherCoop 77OtherCoop
69VarsityBerkeley 69VarsityBerkeley
67InternationalHouse 67InternationalHouse
49SatherGate 49SatherGate
74Martinez 74Martinez
63Unit3 63Unit3
62Unit2 62Unit2
46DoeLibrary 46DoeLibrary
42UniversityHouse 42UniversityHouse
60Ehrman 60Ehrman
47SatherTower 47SatherTower
37OtherCoop 37OtherCoop
61Unit1 61Unit1
58NorthGate 58NorthGate
31Hillegass 31Hillegass
51HearstGymnasium 51HearstGymnasium
75ChanningBowdwitch 75ChanningBowdwitch
72DeltaPhiEpsilon 72DeltaPhiEpsilon
53Durant 53Durant
55Hilgard 55Hilgard
39SanFransisco 39SanFransisco
35ChanningBowdwitch 35ChanningBowdwitch
50Bridge 50Bridge
64Blackwell 64Blackwell
57Wheeler 57Wheeler
71Hillegass 71Hillegass
36CasaZimbabwe 36CasaZimbabwe
