stop0 stop58 stop83 stop53 stop85 stop6 stop2 stop43 stop69 stop91 stop50 stop55 stop70 stop47 stop93 stop46 stop90 stop1 stop7 stop80 stop5 stop30 stop39 stop22 stop52 stop28 stop78 stop18 stop77 stop57 stop92 stop56 stop73 stop4 stop38 stop32 stop61 stop15 stop71 stop19 stop99 stop79 stop65 stop84 stop59 stop86 stop49 stop62 stop31 stop21 stop0
50
stop0 stop23
stop58 stop58
stop83 stop83
stop53 stop53
stop85 stop85
stop6 stop6
stop2 stop2
stop43 stop43
stop69 stop69
stop91 stop91
stop50 stop50
stop55 stop55
stop70 stop70
stop47 stop47
stop93 stop93
stop46 stop46
stop90 stop90
stop1 stop1
stop7 stop7
stop80 stop80
stop5 stop5
stop30 stop30
stop39 stop39
stop22 stop22
stop52 stop52
stop28 stop28
stop78 stop78
stop18 stop18
stop77 stop77
stop57 stop57
stop92 stop92
stop56 stop56
stop73 stop73
stop4 stop4
stop38 stop38
stop32 stop32
stop61 stop61
stop15 stop15
stop71 stop71
stop19 stop19
stop99 stop99
stop79 stop79
stop65 stop65
stop84 stop84
stop59 stop59
stop86 stop86
stop49 stop49
stop62 stop62
stop31 stop31
stop21 stop21
